JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2418501.7,11.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418529.6,11.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418552.6,11.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418584.6,11.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418599.5,11.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418870.6,11.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418910.6,11.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418925.6,11.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2420299.74,11.0,,,Vis.,GRY,,,,,,,,V,,,,RS OPH,,STD,,,,
2421793.701,11.3,,,Vis.,H60,M,,,,,,,V,,,,RS OPH,,STD,,,,
2421805.677,11.4,,,Vis.,H60,,,,,,,,V,,,,RS OPH,,STD,,,,
2421815.663,11.3,,,Vis.,H60,,,,,,,,V,,,,RS OPH,,STD,,,,
2421816.653,11.3,,,Vis.,H60,,,,,,,,V,,,,RS OPH,,STD,,,,
2421830.649,11.6,,,Vis.,H60,,,,,,,,V,,,,RS OPH,,STD,,,,
2421884.622,11.2,,,Vis.,H60,,,,,,,,V,,,,RS OPH,,STD,,,,
2422352.9,11.5,,,Vis.,E,,,,,,,,V,,,,RS OPH,,STD,,,,
2422737.9,10.4,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2422783.8,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2422823.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2422845.7,11.3,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2422869.7,11.4,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2422900.7,10.4,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2422931.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2422955.6,10.6,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2422984.5,10.9,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423116.8,11.6,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423164.8,10.9,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423174.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423202.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423251.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423281.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423292.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423320.6,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423365.5,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423466.9,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423489.8,11.8,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423503.8,11.5,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423546.8,11.3,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423579.6,10.9,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423607.6,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423638.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423669.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423693.6,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423883.8,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423907.8,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423935.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423990.6,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2423997.6,10.5,,,Vis.,O,,,,,,,,V,,,,RS OPH,,STD,,,,
2424023.6,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424079.5,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424109.5,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424181.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424209.9,11.3,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424236.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424282.6,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424296.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424344.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424353.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424383.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424414.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424457.6,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424562.9,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424584.8,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424615.8,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424640.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424670.6,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424697.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424732.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424755.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424791.6,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424815.5,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424943.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2424977.8,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425001.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425026.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425056.8,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425086.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425114.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425140.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425169.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425271.9,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425302.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425346.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425354.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425384.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425412.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425444.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425472.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425505.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425532.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425652.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425678.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425689.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425738.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425763.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425789.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425827.8,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425856.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425878.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2425910.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426041.9,11.3,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426099.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426121.8,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426146.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426174.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426204.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426237.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426270.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426293.7,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426396.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426440.9,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426473.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426480.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426511.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426537.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426569.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426601.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426631.7,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426659.7,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426751.9,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426856.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426883.6,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426918.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426930.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426942.6,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426952.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426974.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2426984.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427005.6,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427034.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427125.6,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427159.6,11.2,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427186.6,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427222.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427239.6,11.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427271.6,11.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427294.33,<7.5,,,Vis.,LT,,NA,,NA,,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427295.44,<7.0,,,Vis.,LT,,NA,,NA,,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427296.43,5.8,,,Vis.,LT,,NA,,NA,D2 RS 2E,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427296.50,5.7,,,Vis.,LT,,NA,,NA,D1 RS 2-3E,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427297.35,4.3,,,Vis.,LT,,NA,,NA,A8 RS 3B,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427297.41,4.3,,,Vis.,LT,,NA,,NA,A7 RS 3B,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427297.50,4.3,,,Vis.,LT,,NA,,NA,A8 RS 3B,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427298.31,5.1,,,Vis.,LT,,NA,,NA,B5 RS 6D,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427298.48,5.1,,,Vis.,LT,,NA,,NA,C3 RS 5D,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427299.32,5.8,,,Vis.,LT,,NA,,NA,D2 RS 2E,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427300.35,6.2,,,Vis.,LT,,NA,,NA,E2 RS F,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427300.40,6.2,,,Vis.,LT,,NA,,NA,E3 RS F,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427300.7,6.4,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427301.32,6.5,,,Vis.,LT,,NA,,NA,F3 RS 1G,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427301.6,6.5,,,Vis.,C,,,,,,,,V,,,,RS OPH,,STD,,,,
2427301.7,6.5,,,Vis.,BDB,,,,,,,,V,,,,RS OPH,,STD,,,,
2427301.7,6.3,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427302.32,6.8,,,Vis.,LT,,NA,,NA,F6 RS 1H,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427302.7,6.5,,,Vis.,BDB,,,,,,,,V,,,,RS OPH,,STD,,,,
2427302.7,6.6,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427303.32,7.0,,,Vis.,LT,,NA,,NA,H1 RS 3K,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427303.41,7.0,,,Vis.,LT,,NA,,NA,H RS 3K,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427303.5,6.5,,,Vis.,DRF,,,,,,,,V,,,,RS OPH,,STD,,,,
2427303.6,6.9,,,Vis.,H,,,,,,,,V,,,,RS OPH,,STD,,,,
2427303.6,6.8,,,Vis.,S,,,,,,,,V,,,,RS OPH,,STD,,,,
2427303.7,6.9,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427304.0,7.4,,,Vis.,K,,,,,,,,V,,,,RS OPH,,STD,,,,
2427304.33,7.1,,,Vis.,LT,,NA,,NA,H2 RS 2K,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427304.8,7.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427305.0,7.3,,,Vis.,K,,,,,,,,V,,,,RS OPH,,STD,,,,
2427305.34,7.3,,,Vis.,LT,,NA,,NA,H4 RS K,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427305.5,7.2,,,Vis.,DRF,,,,,,,,V,,,,RS OPH,,STD,,,,
2427305.7,6.9,,,Vis.,BC,,,,,,,,V,,,,RS OPH,,STD,,,,
2427305.7,6.9,,,Vis.,BDB,,,,,,,,V,,,,RS OPH,,STD,,,,
2427305.7,6.9,,,Vis.,BEM,,,,,,,,V,,,,RS OPH,,STD,,,,
2427305.8,7.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427306.0,7.2,,,Vis.,K,,,,,,,,V,,,,RS OPH,,STD,,,,
2427306.4,7.5,,,Vis.,DRF,DR 7475,,,,,,,V,,,,RS OPH,,STD,,,,
2427306.41,7.5,,,Vis.,LT,,NA,,NA,H6 RS 1L,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427306.6,7.0,,,Vis.,ELC,,,,,,,,V,,,,RS OPH,,STD,,,,
2427306.6,7.3,,,Vis.,MG,,,,,,,,V,,,,RS OPH,,STD,,,,
2427306.7,6.9,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427306.74,7.2,,,Vis.,BR,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.0,7.3,,,Vis.,K,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.35,7.6,,,Vis.,LT,,NA,,NA,H7 RS L,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427307.6,7.4,,,Vis.,C,C,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.5,,,Vis.,CLE,C,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.1,,,Vis.,ELC,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.6,,,Vis.,J,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.4,,,Vis.,MG,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.5,,,Vis.,MZD,C,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.7,7.1,,,Vis.,BC,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.7,7.8,,,Vis.,BDB,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.7,7.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.74,7.4,,,Vis.,BR,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.43,7.7,,,Vis.,LT,,NA,,NA,L1 RS 1M,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427308.6,7.2,,,Vis.,ELC,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.6,7.5,,,Vis.,MG,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.7,7.5,,,Vis.,BDB,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.7,7.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.73,7.6,,,Vis.,BR,,,,,,,,V,,,,RS OPH,,STD,,,,
2427309.0,7.5,,,Vis.,K,,,,,,,,V,,,,RS OPH,,STD,,,,
2427309.31,7.9,,,Vis.,LT,,NA,,NA,M1 RS,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427309.4,7.6,,,Vis.,DRF,,,,,,,,V,,,,RS OPH,,STD,,,,
